Gemeenten,Allochtonen niet-westers|2010,Allochtonen niet-westers|2014,Allochtonen niet-westers|2018
Aa en Hunze,450,433,580
Aalsmeer,1714,2029,2555
Aalten,911,728,887
Achtkarspelen,289,391,559
Alblasserdam,1171,1312,1540
Albrandswaard,2324,2730,3165
Alkmaar,11962,12394,13850
Almelo,10242,10698,11250
Almere,51415,56975,63479
Alphen aan den Rijn,9642,10148,11725
Alphen-Chaam,136,176,266
Altena,801,936,1383
Ameland,46,54,68
Amersfoort,20320,21992,23919
Amstelveen,12531,15557,21182
Amsterdam,268247,282031,301301
Apeldoorn,11389,12405,14250
Appingedam,560,662,814
Arnhem,26146,27511,31556
Assen,3914,4108,5083
Asten,451,488,586
Baarle-Nassau,97,125,189
Baarn,1593,1696,1993
Barendrecht,5630,6605,7670
Barneveld,1835,2021,2560
Beek,531,603,738
Beekdaelen,923,783,1105
Beemster,222,300,377
Beesel,708,694,728
Berg en Dal,736,876,1305
Bergeijk,289,332,437
Bergen (L.),221,267,337
Bergen (NH.),782,847,1085
Bergen op Zoom,8751,9250,9802
Berkelland,993,1030,1244
Bernheze,520,599,838
Best,1634,1672,2038
Beuningen,892,1016,1281
Beverwijk,4520,5239,6072
Bladel,387,496,619
Blaricum,455,553,860
Bloemendaal,815,922,1167
Bodegraven-Reeuwijk,1575,1741,2163
Boekel,134,144,232
Borger-Odoorn,337,368,491
Borne,976,812,1025
Borsele,396,457,629
Boxmeer,958,958,1382
Boxtel,2129,2241,2509
Breda,18542,20126,22571
Brielle,575,659,872
Bronckhorst,501,546,751
Brummen,1081,1143,1193
Brunssum,1202,1348,1510
Bunnik,538,613,789
Bunschoten,846,879,1055
Buren,417,420,656
Capelle aan den IJssel,12835,14126,15739
Castricum,1012,1164,1490
Coevorden,1012,1097,1388
Cranendonck,574,540,699
Cuijk,2164,2270,2411
Culemborg,3469,3616,3897
Dalfsen,386,445,605
Dantumadiel,214,278,394
De Bilt,2339,2718,3373
De Fryske Marren,1093,1184,1893
De Ronde Venen,2310,2603,3258
De Wolden,220,285,446
Delft,17117,18801,20837
Delfzijl,2252,2377,2476
Den Haag,163945,175534,189541
Den Helder,4893,5116,5515
Deurne,858,935,1152
Deventer,12065,12047,12873
Diemen,6279,6908,8164
Dinkelland,319,376,524
Doesburg,1151,1154,1168
Doetinchem,3136,3312,3855
Dongen,1351,1448,1670
Dordrecht,20393,21130,21997
Drechterland,412,482,680
Drimmelen,452,517,723
Dronten,3104,3158,3348
Druten,1004,1019,1139
Duiven,1062,1213,1471
Echt-Susteren,969,944,1218
Edam-Volendam,1193,1335,1669
Ede,7782,8442,9649
Eemnes,392,408,508
Eersel,275,372,536
Eijsden-Margraten,451,494,665
Eindhoven,35092,39320,46231
Elburg,416,427,626
Emmen,4417,4595,5379
Enkhuizen,1184,1188,1283
Enschede,23208,24123,26274
Epe,1578,1641,1784
Ermelo,949,1024,1275
Etten-Leur,3366,3619,4108
Geertruidenberg,592,649,783
Geldrop-Mierlo,2279,2571,3097
Gemert-Bakel,652,672,948
Gennep,645,667,723
Gilze en Rijen,2013,1906,2306
Goeree-Overflakkee,789,860,1216
Goes,2190,2492,2884
Goirle,790,897,1053
